name,position_id,position_2_id,squad_id,age,club_id,birth_year,matches_played,starts,minutes_played
Brenden Aaronson,1,5,1,22,1,2000,4,0,108
Ali Abdi,2,5,2,28,2,1993,3,2,188
Salis Abdul Samed,1,5,3,22,3,2000,3,3,250
Saud Abdulhamid,2,1,4,23,4,1999,3,3,270
Nawaf Al Abed,1,5,4,32,5,1990,2,0,88
Pape Abou Cissé,2,5,5,27,6,1995,3,1,105
Vincent Aboubakar,3,5,6,30,7,1992,3,1,142
Abdulrahman Al-Aboud,1,2,4,27,8,1995,2,0,35
Zakaria Aboukhlal,3,1,7,22,9,2000,4,0,79
Kellyn Acosta,1,5,1,27,10,1995,2,0,43
Marcos Acuña,2,5,8,31,11,1991,5,4,316
Tyler Adams,1,5,1,23,1,1999,4,4,360
Sam Adekugbe,2,5,9,27,12,1995,3,1,95
Michel Aebischer,1,3,10,25,13,1997,1,0,16
Akram Afif,3,5,11,26,14,1996,3,3,270
Nayef Aguerd,2,5,7,26,15,1996,4,4,353
Brandon Aguilera,1,5,12,19,16,2003,3,1,90
Homam Ahmed,2,5,11,23,17,1999,3,3,262
Manuel Akanji,2,5,10,27,18,1995,4,4,360
Nathan Aké,2,5,13,27,18,1995,5,5,479
Ahmed Alaaeldin,3,5,11,29,17,1993,1,0,6
Jordi Alba,2,5,14,33,19,1989,4,3,264
Toby Alderweireld,2,5,15,33,20,1989,3,3,270
Trent Alexander-Arnold,2,5,16,24,21,1998,1,0,34
Almoez Ali,3,5,11,26,22,1996,3,3,224
Alisson,4,5,17,30,21,1992,4,4,379
Joe Allen,1,5,18,32,23,1990,2,1,94
Thiago Almada,1,5,8,21,24,2001,1,0,7
Roberto Alvarado,3,5,19,24,25,1998,1,0,18
Edson Álvarez,1,5,19,25,26,1997,2,2,175
Julián Álvarez,3,1,8,22,18,2000,6,4,362
Kevin Álvarez,2,5,19,23,27,1999,2,1,70
Dani Alves,2,5,17,39,28,1983,2,1,118
Selim Amallah,1,5,7,26,29,1996,6,4,384
Daniel Amartey,2,5,3,27,30,1994,3,3,251
Ethan Ampadu,1,2,18,22,31,2000,3,3,255
