player_id,goals_against,shots_on_target_against,saves,clean_sheets,penalty_kicks_attempted,penalty_kicks_allowed,penalty_kicks_saved
675,2,7,5,2,0,0,0
676,7,17,10,0,1,1,0
677,5,9,4,0,0,0,0
678,1,5,4,0,0,0,0
679,7,15,8,0,0,0,0
680,3,7,5,3,0,0,0
681,6,17,11,1,0,0,0
682,2,11,8,2,1,0,1
683,1,10,9,2,0,0,0
684,1,3,2,0,0,0,0
685,3,12,9,1,0,0,0
686,3,4,1,1,1,1,0
687,4,19,15,0,1,1,0
688,1,5,4,0,0,0,0
689,6,10,4,1,0,0,0
690,2,4,2,0,0,0,0
691,6,29,23,2,1,1,0
692,4,14,10,1,3,2,0
693,1,3,2,0,0,0,0
694,5,8,4,3,0,0,0
695,7,14,7,0,0,0,0
696,8,24,16,0,0,0,0
697,0,3,3,1,0,0,0
698,11,22,11,1,1,1,0
699,5,13,8,0,0,0,0
700,4,22,18,2,1,1,0
701,3,6,2,1,1,0,1
702,1,3,2,0,0,0,0
703,5,19,14,0,1,1,0
704,4,11,7,3,1,1,0
705,2,7,4,2,2,1,1
706,6,18,12,2,0,0,0
707,3,11,8,1,0,0,0
708,8,19,11,1,1,1,0
709,2,3,1,0,1,1,0
710,3,9,6,2,0,0,0
711,7,19,12,1,0,0,0
712,5,28,21,2,2,0,2
713,4,12,8,2,1,1,0
714,5,9,4,0,0,0,0
715,0,0,0,0,0,0,0
