name,position,squad,age,club,birth_year,matches_played,starts,minutes_played,min_played_per_90,goals,assists,non_penalty_goals,pk_goals,pk_attemps,yellow_cards,red_cards
Brenden Aaronson,MF,us United States,21,1.eng Leeds United,2000,4,0,108,1.2,0,0,0,0,0,0,0
Ali Abdi,DF,tn Tunisia,28,2.fr Caen,1993,3,2,188,2.1,0,0,0,0,0,1,0
Salis Abdul Samed,MF,gh Ghana,22,1.fr Lens,2000,3,3,250,2.8,0,0,0,0,0,0,0
Saud Abdulhamid,"DF,MF",sa Saudi Arabia,22,1.sa Al-Hilal,1999,3,3,270,3.0,0,0,0,0,0,1,0
Nawaf Al Abed,MF,sa Saudi Arabia,32,1.sa Al-Shabab,1990,2,0,88,1.0,0,0,0,0,0,1,0
Pape Abou Cissé,DF,sn Senegal,26,1.gr Olympiacos,1995,3,1,105,1.2,0,0,0,0,0,0,0
Vincent Aboubakar,FW,cm Cameroon,30,1.sa Al-Nassr,1992,3,1,142,1.6,2,1,2,0,0,2,1
Abdulrahman Al-Aboud,"MF,DF",sa Saudi Arabia,27,1.sa Al-Ittihad,1995,2,0,35,0.4,0,0,0,0,0,0,0
Zakaria Aboukhlal,"FW,MF",ma Morocco,22,1.fr Toulouse,2000,4,0,79,0.9,1,0,1,0,0,0,0
Kellyn Acosta,MF,us United States,26,1.us Los Angeles FC,1995,2,0,43,0.5,0,0,0,0,0,1,0
Marcos Acuña,"DF,FW",ar Argentina,30,1.es Sevilla,1991,6,4,373,4.1,0,0,0,0,0,3,0
Tyler Adams,MF,us United States,23,1.eng Leeds United,1999,4,4,360,4.0,0,0,0,0,0,1,0
Sam Adekugbe,DF,ca Canada,27,1.tr Hatayspor,1995,3,1,95,1.1,0,0,0,0,0,1,0
Michel Aebischer,"MF,FW",ch Switzerland,25,1.it Bologna,1997,1,0,16,0.2,0,0,0,0,0,0,0
Akram Afif,FW,qa Qatar,25,1.qa Al Sadd SC,1996,3,3,270,3.0,0,0,0,0,0,1,0
Nayef Aguerd,DF,ma Morocco,26,1.eng West Ham,1996,4,4,353,3.9,0,0,0,0,0,0,0
Brandon Aguilera,MF,cr Costa Rica,18,1.cr Asociación Deportiva Guanacasteca,2003,3,1,90,1.0,0,0,0,0,0,0,0
Homam Ahmed,DF,qa Qatar,22,1.qa Al-Gharafa Sports Club,1999,3,3,262,2.9,0,0,0,0,0,1,0
Manuel Akanji,DF,ch Switzerland,26,1.eng Manchester City,1995,4,4,360,4.0,1,0,1,0,0,1,0
Nathan Aké,DF,nl Netherlands,27,1.eng Manchester City,1995,5,5,479,5.3,0,0,0,0,0,1,0
